0 region code,1 region name,2 hemisphere,3 climate,4 terrain,5 borders,6 soviet dominance,7 US dominance,8 british dominance,9 crisis damage,10 soviet fortification,11 US fortification,12 UK fortification,13 ind fortification
W22,Central Asia,North,Sub-tropical,CONTINENTAL,"W10,W21,W23,W31,W32,W40,W41",50,10,10,0,1,1,1,1
W23,East Asia,North,Sub-tropical,CONTINENTAL,"W4,W11,W22,W32,W45",50,10,10,0,1,1,1,1
W24,Central America,North,Tropical,CONTINENTAL,"W4,W12,W13,W25,W33,W34,W35",20,40,5,0,1,1,1,1
W25,Caribbean,North,Tropical,LITTORAL,"W14,W24,W26,W35",25,35,5,0,1,1,1,1
W26,South Atlantic,South,Temperate,OCEANIC,"W15,W25,W27,W35,W36,W37,W38,W46,W47,W48,",20,20,20,0,1,1,1,1
W27,West Africa,North,Tropical,CONTINENTAL,"W15,W26,W28,W30,W38,W39",10,10,10,0,1,1,1,1
W28,Biscay,North,Sub-tropical,OCEANIC,"W15,W16,W27,W29,W30",5,10,20,0,1,1,1,1
W29,Southern Europe,North,Sub-tropical,CONTINENTAL,"W17,W18,W20,W28,W31,W30",10,10,10,0,1,1,1,1
W30,Mediterranean,North,Sub-tropical,OCEANIC,"W27,W28,W29,W31,W39",10,10,20,0,1,1,1,1
W31,Levant,North,Sub-tropical,CONTINENTAL,"W21,W22,W29,W30,W40",10,10,10,0,1,1,1,1
W32,Southern Asia,North,Tropical,CONTINENTAL,"W22,W23,W41,W42,W45",10,10,40,0,1,1,1,1
W33,South Pacific, South,Sub-tropical,OCEANIC,"W4,W24,W34,W36,W43,W44,W45,W46,W48",10,30,20,0,1,1,1,1
W34,Andes,South,Sub-Tropical,CONTINENTAL,"W24,W33,W35,W36",20,20,10,0,1,1,1,1
W35,Amazon,South,Tropical,CONTINENTAL,"W24,W25,W26,W34,W36",20,10,10,0,1,1,1,1
W36,Southern Cone,South,Temperate,CONTINENTAL,"W26,W33,W34,W35,W46",10,10,10,0,1,1,1,1
W37,Southern Africa,South,Sub-tropical,CONTINENTAL,"W26,W38,W42,W48",20,10,20,0,1,1,1,1
W38,Central Africa,South,Tropical,CONTINENTAL,"W26,W27,W37,W39,W40,W42",10,10,10,0,1,1,1,1
W39,North Africa,North,Sub-tropical,CONTINENTAL,"W27,W30,W38,W40",10,10,20,0,1,1,1,1
W40,Middle East,North,Sub-tropical,CONTINENTAL,"W22,W31,W38,W39,W41,W42",20,30,20,0,1,1,1,1
W41,Gulf of Arabia,North,Sub-tropical,OCEANIC,"W22,W32,W40,W42",20,30,20,0,1,1,1,1
W42,Indian Ocean,South,Tropical,OCEANIC,"W32,W37,W38,W40,W41,W43,W44,W48",10,10,30,0,1,1,1,1
W43,Australia,South,Sub-tropical,CONTINENTAL,"W33,W38,W42,W44",5,15,40,0,1,1,1,1
W44,Coral Sea,South,Sub-tropical,OCEANIC,"W33,W42,W43,W45",10,20,30,0,1,1,1,1
W45,South-East Asia,North,Tropical,LITTORAL,"W23,W32,W33",20,30,20,0,1,1,1,1
W46,Western Southern Ocean,South,Polar,OCEANIC,"W33,W36,W47,W48",10,10,10,0,1,1,1,1
W47,Southern Polar Region,South,Polar,LITTORAL,"W26,W46,W48",10,10,10,0,1,1,1,1
W48,Eastern Southern Ocean,South,Polar,OCEANIC,"W26,W33,W37,W42,W43,W46,W47",10,10,10,0,1,1,1,1
